n,mode,steps,metabolism_steps,co2_metabolism_kg,co2_ops_kg,co2_net_kg,o2_metabolism_kg,o2_ops_kg,o2_net_kg,water_metabolism_l,water_ops_l,water_net_l,co2_demand_kg,o2_demand_kg,water_demand_l,ars_nameplate_kg,ogs_nameplate_o2_kg,ogs_nameplate_water_l,wrs_nameplate_l,initial_co2_kg,initial_o2_kg,initial_water_l,final_co2_kg,final_o2_kg,final_water_l
3,ogs,36,35,0.04333333333333337,0.0,0.04333333333333344,0.035,0.1284722222222223,0.09714285714285618,0.09500000000000007,0.14466298240862263,-0.2437962104774353,0.043333333333333335,0.035,0.09499999999999999,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,2.8166666666666704,11.399999999999967,71.46713263328976
3,wrs,36,35,0.04333333333333337,0.0,0.04333333333333344,0.035,0.0,-0.03500000000000014,0.09500000000000007,-0.08689236111111111,-0.005624999999994884,0.043333333333333335,0.035,0.09499999999999999,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,2.8166666666666704,6.774999999999995,79.80312500000018
4,none,36,35,0.05777777777777775,0.0,0.05777777777777785,0.04666666666666665,0.0,-0.046666666666666856,0.12666666666666662,0.0,-0.12666666666666515,0.057777777777777775,0.04666666666666667,0.12666666666666665,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,3.3222222222222246,6.36666666666666,75.56666666666672
4,ars,36,35,0.05777777777777775,0.09228395061728403,-0.037142857142857144,0.04666666666666665,0.0,-0.046666666666666856,0.12666666666666662,0.0,-0.12666666666666515,0.057777777777777775,0.04666666666666667,0.12666666666666665,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,0.0,6.36666666666666,75.56666666666672
4,ogs,36,35,0.05777777777777775,0.0,0.05777777777777785,0.04666666666666665,0.1284722222222223,0.08547619047618947,0.12666666666666662,0.14466298240862263,-0.27546287714410156,0.057777777777777775,0.04666666666666667,0.12666666666666665,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,3.3222222222222246,10.991666666666632,70.35879929995644
4,wrs,36,35,0.05777777777777775,0.0,0.05777777777777785,0.04666666666666665,0.0,-0.046666666666666856,0.12666666666666662,-0.11585648148148148,-0.007499999999993179,0.057777777777777775,0.04666666666666667,0.12666666666666665,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,3.3222222222222246,6.36666666666666,79.73750000000024
5,none,36,35,0.07222222222222224,0.0,0.07222222222222234,0.05833333333333334,0.0,-0.05833333333333357,0.15833333333333324,0.0,-0.15833333333333144,0.07222222222222222,0.058333333333333334,0.15833333333333333,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,3.8277777777777824,5.958333333333325,74.4583333333334
5,ars,36,35,0.07222222222222224,0.10632716049382729,-0.037142857142857144,0.05833333333333334,0.0,-0.05833333333333357,0.15833333333333324,0.0,-0.15833333333333144,0.07222222222222222,0.058333333333333334,0.15833333333333333,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,0.0,5.958333333333325,74.4583333333334
5,ogs,36,35,0.07222222222222224,0.0,0.07222222222222234,0.05833333333333334,0.1284722222222223,0.07380952380952276,0.15833333333333324,0.14466298240862263,-0.30712954381076785,0.07222222222222222,0.058333333333333334,0.15833333333333333,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,3.8277777777777824,10.583333333333297,69.25046596662312
5,wrs,36,35,0.07222222222222224,0.0,0.07222222222222234,0.05833333333333334,0.0,-0.05833333333333357,0.15833333333333324,-0.14482060185185175,-0.009374999999991473,0.07222222222222222,0.058333333333333334,0.15833333333333333,0.25,0.1284722222222222,0.14466298240862274,1.96,1.3,8.0,80.0,3.8277777777777824,5.958333333333325,79.6718750000003
